vocabulary size: 74
n tunes: 375
n train tunes: 311
n validation tunes: 64
min, max length 44 1047
Train model
Embedding shape (64, ?, 74)
RNN output shape (64, ?, 512)
Reshape shape (?, 512)
Dense shape (?, 74)
0/485 (epoch 0.000) train_loss=647.44616699 time/batch=9.81s
1/485 (epoch 0.206) train_loss=831.51428223 time/batch=8.91s
2/485 (epoch 0.412) train_loss=1085.11047363 time/batch=17.27s
3/485 (epoch 0.617) train_loss=430.72451782 time/batch=4.43s
4/485 (epoch 0.823) train_loss=420.78649902 time/batch=4.35s
5/485 (epoch 1.029) train_loss=780.72149658 time/batch=7.75s
6/485 (epoch 1.235) train_loss=935.81384277 time/batch=12.35s
7/485 (epoch 1.441) train_loss=547.50836182 time/batch=6.30s
8/485 (epoch 1.646) train_loss=419.43328857 time/batch=5.34s
9/485 (epoch 1.852) train_loss=595.49224854 time/batch=6.19s
10/485 (epoch 2.058) train_loss=1329.26171875 time/batch=45.62s
11/485 (epoch 2.264) train_loss=614.65820312 time/batch=6.96s
12/485 (epoch 2.469) train_loss=417.98681641 time/batch=4.90s
13/485 (epoch 2.675) train_loss=687.09460449 time/batch=6.87s
14/485 (epoch 2.881) train_loss=916.98071289 time/batch=10.63s
15/485 (epoch 3.087) train_loss=1136.44018555 time/batch=57.55s
16/485 (epoch 3.293) train_loss=561.04876709 time/batch=5.62s
17/485 (epoch 3.498) train_loss=416.05178833 time/batch=4.79s
18/485 (epoch 3.704) train_loss=731.07690430 time/batch=8.14s
19/485 (epoch 3.910) train_loss=1318.05383301 time/batch=52.90s
20/485 (epoch 4.116) train_loss=874.31225586 time/batch=10.37s
21/485 (epoch 4.322) train_loss=577.36486816 time/batch=5.68s
22/485 (epoch 4.527) train_loss=548.40368652 time/batch=6.55s
23/485 (epoch 4.733) train_loss=896.64428711 time/batch=17.33s
24/485 (epoch 4.939) train_loss=730.77770996 time/batch=8.29s
25/485 (epoch 5.145) train_loss=485.04473877 time/batch=5.77s
26/485 (epoch 5.350) train_loss=1306.92773438 time/batch=54.97s
27/485 (epoch 5.556) train_loss=462.87933350 time/batch=6.06s
28/485 (epoch 5.762) train_loss=449.09262085 time/batch=4.77s
29/485 (epoch 5.968) train_loss=495.06597900 time/batch=5.90s
30/485 (epoch 6.174) train_loss=952.57775879 time/batch=12.62s
31/485 (epoch 6.379) train_loss=1098.89965820 time/batch=55.72s
32/485 (epoch 6.585) train_loss=686.62158203 time/batch=8.27s
33/485 (epoch 6.791) train_loss=1291.38891602 time/batch=209.18s
34/485 (epoch 6.997) train_loss=405.61410522 time/batch=113.04s
35/485 (epoch 7.203) train_loss=527.30786133 time/batch=7.34s
36/485 (epoch 7.408) train_loss=465.46554565 time/batch=5.75s
37/485 (epoch 7.614) train_loss=568.95233154 time/batch=7.30s
38/485 (epoch 7.820) train_loss=1091.98510742 time/batch=23.26s
39/485 (epoch 8.026) train_loss=526.47344971 time/batch=8.81s
40/485 (epoch 8.232) train_loss=493.82604980 time/batch=7.20s
41/485 (epoch 8.437) train_loss=931.09948730 time/batch=22.24s
42/485 (epoch 8.643) train_loss=1055.75085449 time/batch=79.41s
43/485 (epoch 8.849) train_loss=605.59814453 time/batch=9.77s
44/485 (epoch 9.055) train_loss=425.45013428 time/batch=9.68s
45/485 (epoch 9.260) train_loss=1224.04504395 time/batch=78.21s
46/485 (epoch 9.466) train_loss=653.65863037 time/batch=11.68s
47/485 (epoch 9.672) train_loss=452.44107056 time/batch=9.10s
48/485 (epoch 9.878) train_loss=484.69122314 time/batch=9.18s
49/485 (epoch 10.084) train_loss=1146.94042969 time/batch=76.58s
50/485 (epoch 10.289) train_loss=629.73229980 time/batch=14.40s
51/485 (epoch 10.495) train_loss=514.23693848 time/batch=13.90s
52/485 (epoch 10.701) train_loss=670.91259766 time/batch=17.19s
53/485 (epoch 10.907) train_loss=478.30255127 time/batch=11.51s
54/485 (epoch 11.113) train_loss=1052.69775391 time/batch=92.72s
55/485 (epoch 11.318) train_loss=462.80245972 time/batch=12.04s
56/485 (epoch 11.524) train_loss=399.66342163 time/batch=10.00s
57/485 (epoch 11.730) train_loss=1020.23571777 time/batch=65.53s
58/485 (epoch 11.936) train_loss=676.78112793 time/batch=99.19s
59/485 (epoch 12.141) train_loss=392.51422119 time/batch=12.16s
60/485 (epoch 12.347) train_loss=862.78234863 time/batch=35.40s
61/485 (epoch 12.553) train_loss=331.79330444 time/batch=9.52s
62/485 (epoch 12.759) train_loss=821.79736328 time/batch=107.91s
63/485 (epoch 12.965) train_loss=507.27267456 time/batch=17.16s
64/485 (epoch 13.170) train_loss=564.99804688 time/batch=16.88s
65/485 (epoch 13.376) train_loss=750.90118408 time/batch=26.00s
66/485 (epoch 13.582) train_loss=346.78509521 time/batch=10.23s
67/485 (epoch 13.788) train_loss=875.25097656 time/batch=108.39s
68/485 (epoch 13.994) train_loss=411.48004150 time/batch=13.08s
69/485 (epoch 14.199) train_loss=724.99774170 time/batch=25.25s
70/485 (epoch 14.405) train_loss=351.29199219 time/batch=14.03s
71/485 (epoch 14.611) train_loss=602.49468994 time/batch=28.52s
72/485 (epoch 14.817) train_loss=474.71670532 time/batch=15.73s
73/485 (epoch 15.023) train_loss=1068.97546387 time/batch=117.99s
74/485 (epoch 15.228) train_loss=555.23089600 time/batch=18.08s
75/485 (epoch 15.434) train_loss=329.75665283 time/batch=11.24s
76/485 (epoch 15.640) train_loss=1054.63964844 time/batch=127.40s
77/485 (epoch 15.846) train_loss=399.70202637 time/batch=15.77s
78/485 (epoch 16.051) train_loss=562.75677490 time/batch=22.32s
79/485 (epoch 16.257) train_loss=452.30422974 time/batch=18.09s
  saved to metadata
80/485 (epoch 16.463) train_loss=327.23312378 time/batch=13.82s
81/485 (epoch 16.669) train_loss=531.40936279 time/batch=19.98s
82/485 (epoch 16.875) train_loss=1065.63354492 time/batch=156.70s
83/485 (epoch 17.080) train_loss=595.39514160 time/batch=31.47s
84/485 (epoch 17.286) train_loss=383.56542969 time/batch=13.90s
85/485 (epoch 17.492) train_loss=457.10241699 time/batch=25.12s
86/485 (epoch 17.698) train_loss=761.95855713 time/batch=38.81s
87/485 (epoch 17.904) train_loss=709.74511719 time/batch=45.90s
setting learning rate to 0.0029100
88/485 (epoch 18.109) train_loss=502.26370239 time/batch=19.49s
89/485 (epoch 18.315) train_loss=646.95336914 time/batch=26.87s
90/485 (epoch 18.521) train_loss=1024.31872559 time/batch=155.47s
91/485 (epoch 18.727) train_loss=331.01135254 time/batch=14.55s
setting learning rate to 0.0028227
92/485 (epoch 18.932) train_loss=325.70883179 time/batch=17.22s
93/485 (epoch 19.138) train_loss=1078.22546387 time/batch=195.33s
94/485 (epoch 19.344) train_loss=545.24426270 time/batch=28.28s
95/485 (epoch 19.550) train_loss=421.04864502 time/batch=22.53s
setting learning rate to 0.0027380
96/485 (epoch 19.756) train_loss=780.84960938 time/batch=50.06s
97/485 (epoch 19.961) train_loss=444.01367188 time/batch=22.30s
98/485 (epoch 20.167) train_loss=417.16424561 time/batch=23.78s
99/485 (epoch 20.373) train_loss=428.80181885 time/batch=27.40s
setting learning rate to 0.0026559
100/485 (epoch 20.579) train_loss=907.49584961 time/batch=75.44s
101/485 (epoch 20.785) train_loss=422.58306885 time/batch=21.33s
102/485 (epoch 20.990) train_loss=338.86160278 time/batch=25.12s
103/485 (epoch 21.196) train_loss=773.87084961 time/batch=184.71s
setting learning rate to 0.0025762
104/485 (epoch 21.402) train_loss=1049.48901367 time/batch=195.18s
105/485 (epoch 21.608) train_loss=428.76000977 time/batch=21.69s
106/485 (epoch 21.814) train_loss=325.61517334 time/batch=18.26s
107/485 (epoch 22.019) train_loss=564.03796387 time/batch=28.35s
setting learning rate to 0.0024989
108/485 (epoch 22.225) train_loss=324.47375488 time/batch=17.28s
109/485 (epoch 22.431) train_loss=833.17718506 time/batch=52.41s
110/485 (epoch 22.637) train_loss=420.67147827 time/batch=21.29s
111/485 (epoch 22.842) train_loss=644.55340576 time/batch=56.96s
setting learning rate to 0.0024239
112/485 (epoch 23.048) train_loss=454.77560425 time/batch=18.92s
113/485 (epoch 23.254) train_loss=374.38983154 time/batch=19.34s
114/485 (epoch 23.460) train_loss=847.71075439 time/batch=58.27s
115/485 (epoch 23.666) train_loss=421.03182983 time/batch=22.58s
setting learning rate to 0.0023512
116/485 (epoch 23.871) train_loss=433.42138672 time/batch=17.55s
117/485 (epoch 24.077) train_loss=775.14709473 time/batch=33.92s
118/485 (epoch 24.283) train_loss=327.90435791 time/batch=12.70s
119/485 (epoch 24.489) train_loss=628.49334717 time/batch=37.69s
setting learning rate to 0.0022807
120/485 (epoch 24.695) train_loss=504.75137329 time/batch=18.35s
121/485 (epoch 24.900) train_loss=601.73156738 time/batch=23.42s
122/485 (epoch 25.106) train_loss=1052.93383789 time/batch=140.81s
123/485 (epoch 25.312) train_loss=399.33868408 time/batch=17.24s
setting learning rate to 0.0022123
124/485 (epoch 25.518) train_loss=508.22738647 time/batch=26.13s
125/485 (epoch 25.723) train_loss=455.21377563 time/batch=22.89s
126/485 (epoch 25.929) train_loss=419.77828979 time/batch=22.96s
127/485 (epoch 26.135) train_loss=954.45916748 time/batch=65.65s
setting learning rate to 0.0021459
128/485 (epoch 26.341) train_loss=405.26232910 time/batch=19.71s
129/485 (epoch 26.547) train_loss=602.79614258 time/batch=34.92s
130/485 (epoch 26.752) train_loss=344.75094604 time/batch=17.86s
131/485 (epoch 26.958) train_loss=657.09661865 time/batch=35.52s
setting learning rate to 0.0020815
132/485 (epoch 27.164) train_loss=710.72949219 time/batch=39.62s
133/485 (epoch 27.370) train_loss=357.41140747 time/batch=18.46s
134/485 (epoch 27.576) train_loss=387.30474854 time/batch=22.97s
135/485 (epoch 27.781) train_loss=950.59326172 time/batch=193.32s
setting learning rate to 0.0020191
136/485 (epoch 27.987) train_loss=1040.08544922 time/batch=151.87s
137/485 (epoch 28.193) train_loss=378.57708740 time/batch=15.58s
138/485 (epoch 28.399) train_loss=361.75708008 time/batch=18.79s
139/485 (epoch 28.605) train_loss=885.69274902 time/batch=21.01s
setting learning rate to 0.0019585
140/485 (epoch 28.810) train_loss=878.40985107 time/batch=50.16s
141/485 (epoch 29.016) train_loss=1732.33569336 time/batch=141.80s
142/485 (epoch 29.222) train_loss=324.02490234 time/batch=14.01s
143/485 (epoch 29.428) train_loss=483.16223145 time/batch=19.50s
setting learning rate to 0.0018998
144/485 (epoch 29.633) train_loss=345.57434082 time/batch=14.28s
145/485 (epoch 29.839) train_loss=568.13507080 time/batch=23.38s
146/485 (epoch 30.045) train_loss=1049.23925781 time/batch=141.80s
147/485 (epoch 30.251) train_loss=540.21105957 time/batch=25.45s
setting learning rate to 0.0018428
